t,ano,mes,cotacao,ipca_acumulado,cpi,selic,divida_pp,fed_rate,cotacao_1,ipca_acumulado_1,cpi_1,selic_1,divida_pp_1,fed_rate_1,cotacao_2,ipca_acumulado_2,cpi_2,selic_2,divida_pp_2,fed_rate_2,cotacao_3,ipca_acumulado_3,cpi_3,selic_3,divida_pp_3,fed_rate_3,cotacao_4,ipca_acumulado_4,cpi_4,selic_4,divida_pp_4,fed_rate_4,cotacao_5,ipca_acumulado_5,cpi_5,selic_5,divida_pp_5,fed_rate_5
138,2011,6,1.5622,82.61999999999998,224.806,12.098571428571423,52.35,0.09,1.58,82.46999999999998,224.806,11.919999999999995,52.22,0.09,1.5775,81.99999999999997,224.093,11.735789473684205,52.61,0.1,1.632,81.22999999999998,223.046,11.622380952380947,52.61,0.14,1.6638,80.44,221.898,11.169499999999996,52.37,0.16,1.6675,79.64,221.187,10.85333333333333,52.4,0.17
137,2011,5,1.58,82.46999999999998,224.806,11.919999999999995,52.22,0.09,1.5775,81.99999999999997,224.093,11.735789473684205,52.61,0.1,1.632,81.22999999999998,223.046,11.622380952380947,52.61,0.14,1.6638,80.44,221.898,11.169499999999996,52.37,0.16,1.6675,79.64,221.187,10.85333333333333,52.4,0.17,1.6595,78.81000000000002,220.472,10.661304347826084,51.77,0.18
136,2011,4,1.5775,81.99999999999997,224.093,11.735789473684205,52.61,0.1,1.632,81.22999999999998,223.046,11.622380952380947,52.61,0.14,1.6638,80.44,221.898,11.169499999999996,52.37,0.16,1.6675,79.64,221.187,10.85333333333333,52.4,0.17,1.6595,78.81000000000002,220.472,10.661304347826084,51.77,0.18,1.715,78.18000000000002,219.59,10.659999999999998,54.65,0.19
135,2011,3,1.632,81.22999999999998,223.046,11.622380952380947,52.61,0.14,1.6638,80.44,221.898,11.169499999999996,52.37,0.16,1.6675,79.64,221.187,10.85333333333333,52.4,0.17,1.6595,78.81000000000002,220.472,10.661304347826084,51.77,0.18,1.715,78.18000000000002,219.59,10.659999999999998,54.65,0.19,1.7012,77.35000000000004,219.035,10.659999999999998,55.07,0.19
134,2011,2,1.6638,80.44,221.898,11.169499999999996,52.37,0.16,1.6675,79.64,221.187,10.85333333333333,52.4,0.17,1.6595,78.81000000000002,220.472,10.661304347826084,51.77,0.18,1.715,78.18000000000002,219.59,10.659999999999998,54.65,0.19,1.7012,77.35000000000004,219.035,10.659999999999998,55.07,0.19,1.6876,76.60000000000004,218.275,10.659999999999998,54.89,0.19
133,2011,1,1.6675,79.64,221.187,10.85333333333333,52.4,0.17,1.6595,78.81000000000002,220.472,10.661304347826084,51.77,0.18,1.715,78.18000000000002,219.59,10.659999999999998,54.65,0.19,1.7012,77.35000000000004,219.035,10.659999999999998,55.07,0.19,1.6876,76.60000000000004,218.275,10.659999999999998,54.89,0.19,1.755,76.15000000000003,217.923,10.659999999999998,54.98,0.19
132,2010,12,1.6595,78.81000000000002,220.472,10.661304347826084,51.77,0.18,1.715,78.18000000000002,219.59,10.659999999999998,54.65,0.19,1.7012,77.35000000000004,219.035,10.659999999999998,55.07,0.19,1.6876,76.60000000000004,218.275,10.659999999999998,54.89,0.19,1.755,76.15000000000003,217.923,10.659999999999998,54.98,0.19,1.754,76.11000000000003,217.605,10.319090909090907,55.53,0.18
131,2010,11,1.715,78.18000000000002,219.59,10.659999999999998,54.65,0.19,1.7012,77.35000000000004,219.035,10.659999999999998,55.07,0.19,1.6876,76.60000000000004,218.275,10.659999999999998,54.89,0.19,1.755,76.15000000000003,217.923,10.659999999999998,54.98,0.19,1.754,76.11000000000003,217.605,10.319090909090907,55.53,0.18,1.8039,76.10000000000004,217.199,9.93714285714286,55.78,0.18
130,2010,10,1.7012,77.35000000000004,219.035,10.659999999999998,55.07,0.19,1.6876,76.60000000000004,218.275,10.659999999999998,54.89,0.19,1.755,76.15000000000003,217.923,10.659999999999998,54.98,0.19,1.754,76.11000000000003,217.605,10.319090909090907,55.53,0.18,1.8039,76.10000000000004,217.199,9.93714285714286,55.78,0.18,1.8201,76.10000000000004,217.29,9.398571428571431,55.96,0.2
129,2010,9,1.6876,76.60000000000004,218.275,10.659999999999998,54.89,0.19,1.755,76.15000000000003,217.923,10.659999999999998,54.98,0.19,1.754,76.11000000000003,217.605,10.319090909090907,55.53,0.18,1.8039,76.10000000000004,217.199,9.93714285714286,55.78,0.18,1.8201,76.10000000000004,217.29,9.398571428571431,55.96,0.2,1.7375,75.67000000000004,217.403,8.7225,56.05,0.2
128,2010,8,1.755,76.15000000000003,217.923,10.659999999999998,54.98,0.19,1.754,76.11000000000003,217.605,10.319090909090907,55.53,0.18,1.8039,76.10000000000004,217.199,9.93714285714286,55.78,0.18,1.8201,76.10000000000004,217.29,9.398571428571431,55.96,0.2,1.7375,75.67000000000004,217.403,8.7225,56.05,0.2,1.7837,75.10000000000004,217.353,8.650000000000004,56.24,0.16
127,2010,7,1.754,76.11000000000003,217.605,10.319090909090907,55.53,0.18,1.8039,76.10000000000004,217.199,9.93714285714286,55.78,0.18,1.8201,76.10000000000004,217.29,9.398571428571431,55.96,0.2,1.7375,75.67000000000004,217.403,8.7225,56.05,0.2,1.7837,75.10000000000004,217.353,8.650000000000004,56.24,0.16,1.8072,74.58000000000003,217.281,8.650000000000002,59.03,0.13
126,2010,6,1.8039,76.10000000000004,217.199,9.93714285714286,55.78,0.18,1.8201,76.10000000000004,217.29,9.398571428571431,55.96,0.2,1.7375,75.67000000000004,217.403,8.7225,56.05,0.2,1.7837,75.10000000000004,217.353,8.650000000000004,56.24,0.16,1.8072,74.58000000000003,217.281,8.650000000000002,59.03,0.13,1.885,73.80000000000001,217.488,8.649500000000002,59.76,0.11
125,2010,5,1.8201,76.10000000000004,217.29,9.398571428571431,55.96,0.2,1.7375,75.67000000000004,217.403,8.7225,56.05,0.2,1.7837,75.10000000000004,217.353,8.650000000000004,56.24,0.16,1.8072,74.58000000000003,217.281,8.650000000000002,59.03,0.13,1.885,73.80000000000001,217.488,8.649500000000002,59.76,0.11,1.743,73.05000000000001,217.347,8.649545454545459,59.21,0.12
124,2010,4,1.7375,75.67000000000004,217.403,8.7225,56.05,0.2,1.7837,75.10000000000004,217.353,8.650000000000004,56.24,0.16,1.8072,74.58000000000003,217.281,8.650000000000002,59.03,0.13,1.885,73.80000000000001,217.488,8.649500000000002,59.76,0.11,1.743,73.05000000000001,217.347,8.649545454545459,59.21,0.12,1.7555,72.68000000000002,217.234,8.650000000000002,60.22,0.12
123,2010,3,1.7837,75.10000000000004,217.353,8.650000000000004,56.24,0.16,1.8072,74.58000000000003,217.281,8.650000000000002,59.03,0.13,1.885,73.80000000000001,217.488,8.649500000000002,59.76,0.11,1.743,73.05000000000001,217.347,8.649545454545459,59.21,0.12,1.7555,72.68000000000002,217.234,8.650000000000002,60.22,0.12,1.7635,72.27000000000001,216.509,8.650000000000002,61.0,0.12
122,2010,2,1.8072,74.58000000000003,217.281,8.650000000000002,59.03,0.13,1.885,73.80000000000001,217.488,8.649500000000002,59.76,0.11,1.743,73.05000000000001,217.347,8.649545454545459,59.21,0.12,1.7555,72.68000000000002,217.234,8.650000000000002,60.22,0.12,1.7635,72.27000000000001,216.509,8.650000000000002,61.0,0.12,1.7715,71.99000000000001,215.861,8.650000000000002,60.8,0.15
121,2010,1,1.885,73.80000000000001,217.488,8.649500000000002,59.76,0.11,1.743,73.05000000000001,217.347,8.649545454545459,59.21,0.12,1.7555,72.68000000000002,217.234,8.650000000000002,60.22,0.12,1.7635,72.27000000000001,216.509,8.650000000000002,61.0,0.12,1.7715,71.99000000000001,215.861,8.650000000000002,60.8,0.15,1.8802,71.75000000000001,215.445,8.650000000000002,60.77,0.16
120,2009,12,1.743,73.05000000000001,217.347,8.649545454545459,59.21,0.12,1.7555,72.68000000000002,217.234,8.650000000000002,60.22,0.12,1.7635,72.27000000000001,216.509,8.650000000000002,61.0,0.12,1.7715,71.99000000000001,215.861,8.650000000000002,60.8,0.15,1.8802,71.75000000000001,215.445,8.650000000000002,60.77,0.16,1.865,71.60000000000001,214.726,9.006086956521738,59.68,0.16
119,2009,11,1.7555,72.68000000000002,217.234,8.650000000000002,60.22,0.12,1.7635,72.27000000000001,216.509,8.650000000000002,61.0,0.12,1.7715,71.99000000000001,215.861,8.650000000000002,60.8,0.15,1.8802,71.75000000000001,215.445,8.650000000000002,60.77,0.16,1.865,71.60000000000001,214.726,9.006086956521738,59.68,0.16,1.9525,71.36000000000001,214.79,9.54047619047619,58.34,0.21
118,2009,10,1.7635,72.27000000000001,216.509,8.650000000000002,61.0,0.12,1.7715,71.99000000000001,215.861,8.650000000000002,60.8,0.15,1.8802,71.75000000000001,215.445,8.650000000000002,60.77,0.16,1.865,71.60000000000001,214.726,9.006086956521738,59.68,0.16,1.9525,71.36000000000001,214.79,9.54047619047619,58.34,0.21,1.9715,71.00000000000001,213.022,10.159499999999998,57.07,0.18
117,2009,9,1.7715,71.99000000000001,215.861,8.650000000000002,60.8,0.15,1.8802,71.75000000000001,215.445,8.650000000000002,60.77,0.16,1.865,71.60000000000001,214.726,9.006086956521738,59.68,0.16,1.9525,71.36000000000001,214.79,9.54047619047619,58.34,0.21,1.9715,71.00000000000001,213.022,10.159499999999998,57.07,0.18,2.1898,70.53000000000002,212.709,11.109499999999999,56.8,0.15
116,2009,8,1.8802,71.75000000000001,215.445,8.650000000000002,60.77,0.16,1.865,71.60000000000001,214.726,9.006086956521738,59.68,0.16,1.9525,71.36000000000001,214.79,9.54047619047619,58.34,0.21,1.9715,71.00000000000001,213.022,10.159499999999998,57.07,0.18,2.1898,70.53000000000002,212.709,11.109499999999999,56.8,0.15,2.3169,70.05000000000001,212.495,11.705454545454545,57.47,0.18
115,2009,7,1.865,71.60000000000001,214.726,9.006086956521738,59.68,0.16,1.9525,71.36000000000001,214.79,9.54047619047619,58.34,0.21,1.9715,71.00000000000001,213.022,10.159499999999998,57.07,0.18,2.1898,70.53000000000002,212.709,11.109499999999999,56.8,0.15,2.3169,70.05000000000001,212.495,11.705454545454545,57.47,0.18,2.3914,69.85000000000001,212.705,12.659999999999998,57.18,0.22
114,2009,6,1.9525,71.36000000000001,214.79,9.54047619047619,58.34,0.21,1.9715,71.00000000000001,213.022,10.159499999999998,57.07,0.18,2.1898,70.53000000000002,212.709,11.109499999999999,56.8,0.15,2.3169,70.05000000000001,212.495,11.705454545454545,57.47,0.18,2.3914,69.85000000000001,212.705,12.659999999999998,57.18,0.22,2.32,69.3,211.933,13.325238095238097,56.87,0.15
113,2009,5,1.9715,71.00000000000001,213.022,10.159499999999998,57.07,0.18,2.1898,70.53000000000002,212.709,11.109499999999999,56.8,0.15,2.3169,70.05000000000001,212.495,11.705454545454545,57.47,0.18,2.3914,69.85000000000001,212.705,12.659999999999998,57.18,0.22,2.32,69.3,211.933,13.325238095238097,56.87,0.15,2.3145,68.82000000000001,211.398,13.660000000000002,55.98,0.16
112,2009,4,2.1898,70.53000000000002,212.709,11.109499999999999,56.8,0.15,2.3169,70.05000000000001,212.495,11.705454545454545,57.47,0.18,2.3914,69.85000000000001,212.705,12.659999999999998,57.18,0.22,2.32,69.3,211.933,13.325238095238097,56.87,0.15,2.3145,68.82000000000001,211.398,13.660000000000002,55.98,0.16,2.3034,68.54,213.153,13.639999999999995,54.64,0.39
111,2009,3,2.3169,70.05000000000001,212.495,11.705454545454545,57.47,0.18,2.3914,69.85000000000001,212.705,12.659999999999998,57.18,0.22,2.32,69.3,211.933,13.325238095238097,56.87,0.15,2.3145,68.82000000000001,211.398,13.660000000000002,55.98,0.16,2.3034,68.54,213.153,13.639999999999995,54.64,0.39,2.1642,68.18,216.995,13.664782608695653,55.05,0.97
110,2009,2,2.3914,69.85000000000001,212.705,12.659999999999998,57.18,0.22,2.32,69.3,211.933,13.325238095238097,56.87,0.15,2.3145,68.82000000000001,211.398,13.660000000000002,55.98,0.16,2.3034,68.54,213.153,13.639999999999995,54.64,0.39,2.1642,68.18,216.995,13.664782608695653,55.05,0.97,1.9066,67.73000000000002,218.877,13.390454545454547,54.83,1.81
109,2009,1,2.32,69.3,211.933,13.325238095238097,56.87,0.15,2.3145,68.82000000000001,211.398,13.660000000000002,55.98,0.16,2.3034,68.54,213.153,13.639999999999995,54.64,0.39,2.1642,68.18,216.995,13.664782608695653,55.05,0.97,1.9066,67.73000000000002,218.877,13.390454545454547,54.83,1.81,1.63,67.47000000000001,218.69,12.919047619047614,54.95,2.0
108,2008,12,2.3145,68.82000000000001,211.398,13.660000000000002,55.98,0.16,2.3034,68.54,213.153,13.639999999999995,54.64,0.39,2.1642,68.18,216.995,13.664782608695653,55.05,0.97,1.9066,67.73000000000002,218.877,13.390454545454547,54.83,1.81,1.63,67.47000000000001,218.69,12.919047619047614,54.95,2.0,1.567,67.19000000000001,219.016,12.364782608695648,55.53,2.01
107,2008,11,2.3034,68.54,213.153,13.639999999999995,54.64,0.39,2.1642,68.18,216.995,13.664782608695653,55.05,0.97,1.9066,67.73000000000002,218.877,13.390454545454547,54.83,1.81,1.63,67.47000000000001,218.69,12.919047619047614,54.95,2.0,1.567,67.19000000000001,219.016,12.364782608695648,55.53,2.01,1.6041,66.66000000000001,217.463,12.089523809523804,55.6,2.0
106,2008,10,2.1642,68.18,216.995,13.664782608695653,55.05,0.97,1.9066,67.73000000000002,218.877,13.390454545454547,54.83,1.81,1.63,67.47000000000001,218.69,12.919047619047614,54.95,2.0,1.567,67.19000000000001,219.016,12.364782608695648,55.53,2.01,1.6041,66.66000000000001,217.463,12.089523809523804,55.6,2.0,1.6265,65.92000000000002,215.208,11.626999999999995,55.82,1.98
